/TITLE,THIS IS REULT OF BH056-L-8-50Mat
   0.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
          256.    0.98046E-01    0.54585E-01    0.18432E-02    0.11258E-02
          257.    0.69209E-01   -0.26485E-02    0.11526E-02    0.49326E-03
          258.    0.11349E+00   -0.41179E-01    0.51391E-03    0.17060E-03
          259.    0.10749E+00   -0.48844E-01    0.35495E-03    0.11260E-03
          260.    0.53798E-01   -0.10121E+00    0.13176E-03    0.74669E-05
          261.    0.25228E+00   -0.64169E-01    0.10376E-02    0.30043E-03
          262.    0.34071E+01    0.23849E+01    0.23285E-02    0.14721E-02
          263.    0.11660E+01    0.64610E+00    0.22543E-02    0.14713E-02
          264.    0.90191E+01    0.96047E+01    0.24691E-02    0.17753E-02
          265.    0.35269E+01    0.26343E+01    0.20882E-02    0.14159E-02
          266.    0.57224E+00    0.17630E+00    0.17390E-02    0.67717E-03
          267.    0.72778E+00    0.39605E+00    0.21868E-02    0.12075E-02
          268.    0.10038E+01    0.24910E+00    0.13256E-02    0.49010E-03
          269.    0.55566E+00    0.80268E-01    0.13962E-02    0.45663E-03
          270.    0.92354E+01    0.90816E+01    0.11722E-02    0.83831E-03
          271.    0.75567E+01    0.73575E+01    0.11866E-02    0.84533E-03
          272.    0.14888E+02    0.15417E+02    0.16020E-02    0.11514E-02
          273.    0.12990E+02    0.13212E+02    0.14122E-02    0.10135E-02
          274.    0.12571E+02   -0.23805E+01    0.48250E-02    0.15720E-02
          275.    0.49605E+01    0.38414E+01    0.29418E-02    0.15907E-02
          276.    0.38905E+01    0.21789E+01    0.43979E-02    0.19649E-02
          277.    0.68236E+01    0.28520E+01    0.30546E-02    0.13342E-02
          278.    0.52098E+00    0.88529E-01    0.26380E-02    0.14533E-02
          279.    0.29724E+00    0.25952E+00    0.57554E-02    0.41499E-02
          280.    0.58652E+00    0.32495E-02    0.44644E-02    0.32783E-02
          281.    0.23142E+00    0.19582E+00    0.62716E-02    0.47674E-02
          282.    0.23187E+01    0.53349E+00    0.23013E-02    0.14720E-02
          283.    0.21610E+01   -0.38690E+00    0.16034E-02    0.78335E-03
          284.    0.29895E+01   -0.11691E+01    0.12545E-02    0.44171E-03
          285.    0.16356E+01    0.21842E+01    0.26113E-02    0.19066E-02
          286.    0.96061E+00    0.10719E+01    0.28404E-02    0.20989E-02
          287.    0.76757E+00    0.71093E+00    0.32741E-02    0.23009E-02
          288.    0.62906E+00    0.58543E+00    0.28901E-02    0.20232E-02
          289.    0.10967E+01    0.12159E+01    0.39825E-02    0.28951E-02
          290.    0.12379E+01    0.11000E+01    0.58762E-03    0.41269E-03
          291.    0.72208E+01    0.69039E+01    0.93994E-03    0.66646E-03
          292.    0.50789E+00    0.35603E+00    0.49052E-03    0.31578E-03
          293.    0.45151E+01    0.43516E+01    0.76118E-03    0.54112E-03
          294.    0.63090E+00    0.11501E+00    0.79032E-02    0.36451E-02
          295.    0.12001E+01    0.11677E+01    0.44660E-02    0.20580E-02
          296.    0.20972E+01    0.29491E+00    0.55829E-02    0.22209E-02
          297.    0.45012E+00    0.17751E+00    0.77872E-02    0.38196E-02
          298.    0.79654E+00    0.70362E+00    0.61044E-03    0.40824E-03
          299.    0.55177E+01    0.50839E+01    0.91383E-03    0.63717E-03
          300.    0.31060E+01    0.19908E+01    0.63413E-03    0.38228E-03
          301.    0.50511E+00    0.20882E+00    0.60668E-03    0.30015E-03
          302.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          303.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          304.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          305.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          306.    0.72374E+00    0.25463E+00    0.13170E-02    0.46259E-03
          307.    0.16606E+01    0.84647E-01    0.17402E-02    0.61931E-03
          308.    0.17975E+01   -0.10670E+00    0.13498E-02    0.50725E-03
          309.    0.13737E+01    0.11168E+00    0.12556E-02    0.51162E-03
          310.    0.64378E+00    0.94183E+00    0.41307E-02    0.29039E-02
          311.    0.81582E+00    0.87906E+00    0.31337E-02    0.21056E-02
          312.    0.73848E+00    0.81004E+00    0.56836E-02    0.39609E-02
          313.    0.32000E+00    0.30935E+00    0.68215E-02    0.47826E-02
          314.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          315.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          316.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          317.    0.14801E-01    0.52124E-02    0.51449E-04    0.24928E-04
          318.    0.68624E-01   -0.20910E-01    0.23429E-02    0.58201E-03
          319.    0.12505E+00   -0.26228E-01    0.34219E-02    0.76671E-03
          320.    0.33787E-01   -0.36901E-01    0.75417E-03    0.15131E-03
          321.    0.59060E-01   -0.10003E+00    0.33224E-02    0.17205E-03
          322.    0.20849E+00   -0.10297E+00    0.77511E-03    0.32555E-03
          323.    0.33371E+00   -0.95436E-01    0.12650E-02    0.47619E-03
          324.    0.43095E+00    0.44062E+00    0.76162E-03    0.49208E-03
          325.    0.49833E+00    0.19583E-02    0.74818E-03    0.30721E-03
          326.    0.12458E+02    0.10234E+01    0.14325E-02    0.44886E-03
          327.    0.76697E+01    0.17539E+00    0.11218E-02    0.35640E-03
          328.    0.14213E+02   -0.61085E+00    0.14091E-02    0.42187E-03
          329.    0.92145E+01    0.13750E+00    0.10985E-02    0.33905E-03
          330.    0.13726E+02    0.13840E+02    0.14084E-02    0.10083E-02
          331.    0.46883E+01    0.44854E+01    0.88029E-03    0.63164E-03
          332.    0.10443E+02    0.10258E+02    0.12665E-02    0.90058E-03
          333.    0.12032E+02    0.11756E+02    0.12190E-02    0.86858E-03
          334.    0.18601E+01    0.12381E+01    0.17239E-02    0.10867E-02
          335.    0.16192E+01    0.14720E+01    0.17796E-02    0.11995E-02
          336.    0.21264E+01    0.13055E+01    0.15426E-02    0.96376E-03
          337.    0.93010E+00    0.82760E+00    0.22741E-02    0.15453E-02
          338.    0.13393E+02   -0.45066E+01    0.44410E-02    0.11979E-02
          339.    0.90787E+01    0.32557E+01    0.39701E-02    0.14123E-02
          340.    0.16438E+02   -0.44602E+01    0.40391E-02    0.12217E-02
          341.    0.16122E+02    0.26630E+01    0.33248E-02    0.10944E-02
          342.    0.50204E+01    0.45606E+01    0.59632E-03    0.41857E-03
          343.    0.20172E+01    0.97773E+00    0.28936E-03    0.13964E-03
          344.    0.29212E+01    0.12932E+01    0.26126E-03    0.15069E-03
          345.    0.46815E+01    0.41407E+01    0.46630E-03    0.32606E-03
          346.    0.41969E+01   -0.45852E-01    0.44615E-03    0.14115E-03
          347.    0.93278E+01   -0.83228E-02    0.82542E-03    0.24546E-03
          348.    0.82163E+01    0.57753E+00    0.97687E-03    0.27944E-03
          349.    0.13262E+00    0.17176E-01    0.12063E-03    0.51286E-04
          350.    0.64058E-01    0.97087E-01    0.35564E-03    0.24668E-03
          351.    0.85512E-01    0.83323E-01    0.31051E-03    0.17743E-03
          352.    0.50635E-01    0.54119E-01    0.40447E-03    0.27120E-03
          353.    0.10691E+00    0.71428E-01    0.49569E-03    0.33255E-03
          354.    0.90168E-01    0.33390E-02    0.67183E-03    0.22939E-03
          355.    0.63095E-01    0.48182E-01    0.20657E-03    0.11190E-03
          356.    0.41770E-01   -0.99402E-02    0.41885E-03    0.15552E-03
          357.    0.10081E+00   -0.36084E-01    0.10071E-02    0.28981E-03
          358.    0.28168E+01   -0.21672E+00    0.75930E-03    0.30767E-03
          359.    0.29669E+01   -0.47578E-01    0.69020E-03    0.27142E-03
          360.    0.66876E+01   -0.28706E-01    0.12018E-02    0.38169E-03
          361.    0.51604E+01    0.40577E+00    0.10972E-02    0.38734E-03
          362.    0.23308E+00    0.86362E-01    0.27896E-02    0.14154E-02
          363.    0.26505E+00   -0.22582E-01    0.10966E-02    0.40520E-03
          364.    0.21828E+00    0.75128E-01    0.13849E-02    0.64263E-03
          365.    0.12918E+00    0.36963E-01    0.28766E-02    0.13623E-02
          366.    0.26516E-01    0.20433E-01    0.11602E-02    0.66742E-03
          367.    0.34718E-01    0.33392E-01    0.13057E-02    0.81239E-03
          368.    0.42464E+00    0.38879E+00    0.13124E-02    0.87430E-03
          369.    0.24518E-02    0.11942E-02    0.14247E-02    0.54853E-03
          370.    0.67691E+01   -0.82473E+00    0.11466E-02    0.48421E-03
          371.    0.45530E+01   -0.51042E+00    0.85524E-03    0.38596E-03
          372.    0.86626E+01   -0.14775E+01    0.12953E-02    0.47243E-03
          373.    0.30328E+01    0.15923E+01    0.88327E-03    0.51167E-03
          374.    0.27817E+01    0.23854E+00    0.57547E-02    0.20337E-02
          375.    0.22740E+01    0.24640E+00    0.63945E-02    0.22583E-02
          376.    0.70741E+00    0.23761E-01    0.57302E-02    0.18442E-02
          377.    0.21157E+01   -0.11815E+00    0.68075E-02    0.24584E-02
