/TITLE,THIS IS REULT OF BH056-L-8-50Mat
  20.
NODE      EQUIVALENTSTRESS      PRINCIPALSTRESS      EQVSTRAIN      PRINCIPALSTRAIN
          153.    0.59848E+00    0.50946E+00    0.31987E-02    0.20084E-02
          154.    0.79695E+00    0.34723E+00    0.83368E-02    0.45739E-02
          155.    0.89103E+00   -0.29184E+00    0.50343E-02    0.13615E-02
          156.    0.49076E+00   -0.20945E+00    0.28026E-02    0.79906E-03
          157.    0.32668E+00   -0.30137E+00    0.22848E-02    0.58451E-03
          158.    0.34884E+00   -0.27166E+00    0.16947E-02    0.46936E-03
          159.    0.17908E+01   -0.18109E+00    0.33261E-02    0.12563E-02
          160.    0.17175E+01    0.13958E+01    0.40515E-02    0.18600E-02
          161.    0.16681E+01   -0.21065E+01    0.22927E-02    0.64057E-03
          162.    0.12368E+01    0.45536E+00    0.42669E-02    0.15719E-02
          163.    0.16735E+02    0.16682E+02    0.15093E-02    0.10788E-02
          164.    0.14758E+02    0.15552E+02    0.15278E-02    0.11038E-02
          165.    0.13389E+02    0.12851E+02    0.13660E-02    0.97279E-03
          166.    0.54781E+01    0.52835E+01    0.10217E-02    0.73121E-03
          167.    0.25796E+02   -0.10233E+01    0.22411E-02    0.63484E-03
          168.    0.25913E+02   -0.10088E+01    0.22276E-02    0.64712E-03
          169.    0.24531E+02   -0.12251E+01    0.21646E-02    0.61916E-03
          170.    0.14359E+02    0.12329E+01    0.17548E-02    0.56502E-03
          171.    0.56127E+00    0.77170E+00    0.28212E-02    0.20380E-02
          172.    0.93789E+00    0.13401E+01    0.11162E-02    0.81010E-03
          173.    0.14198E+01    0.20693E+01    0.69208E-03    0.53462E-03
          174.    0.10758E+01    0.12554E+01    0.55268E-03    0.40435E-03
          175.    0.34057E+00    0.33675E+00    0.54400E-03    0.36750E-03
          176.    0.15310E+00    0.17140E+00    0.11415E-02    0.64279E-03
          177.    0.19236E+00    0.24736E+00    0.58343E-03    0.33134E-03
          178.    0.95449E-01    0.63383E-01    0.14004E-02    0.65172E-03
          179.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          180.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          181.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          182.    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
          183.    0.12800E+00    0.95723E-01    0.29283E-03    0.19981E-03
          184.    0.29801E+00    0.17926E+00    0.66823E-04    0.35825E-04
          185.    0.13379E+01    0.11864E+01    0.14584E-03    0.10107E-03
          186.    0.24767E+01    0.24445E+01    0.46868E-03    0.33711E-03
          187.    0.33528E+01   -0.27704E+00    0.53531E-02    0.16326E-02
          188.    0.20094E+01   -0.22274E+00    0.30775E-02    0.88502E-03
          189.    0.17696E+01    0.16122E+00    0.19498E-02    0.69546E-03
          190.    0.20552E+01   -0.12412E+00    0.35261E-02    0.10124E-02
          191.    0.10415E+01    0.85034E+00    0.38122E-03    0.26309E-03
          192.    0.39886E+00    0.30273E+00    0.35898E-03    0.25119E-03
          193.    0.11480E+01    0.97415E+00    0.43903E-03    0.30015E-03
          194.    0.94656E-01    0.70322E-01    0.21212E-03    0.13157E-03
          195.    0.16227E+01    0.15270E+01    0.22766E-02    0.16057E-02
          196.    0.10290E+01    0.86248E+00    0.21519E-02    0.14588E-02
          197.    0.14564E+01    0.13555E+01    0.19208E-02    0.13490E-02
          198.    0.10481E+01    0.84042E+00    0.31164E-02    0.20889E-02
          199.    0.10569E+01    0.10210E+01    0.12665E-01    0.88271E-02
          200.    0.15704E+01    0.14028E+01    0.11991E-01    0.83094E-02
          201.    0.12883E+01    0.13373E+01    0.95218E-02    0.66649E-02
          202.    0.12000E+01    0.12513E+01    0.89178E-02    0.63469E-02
